Mã số sinh viên;Họ;Tên;Lớp;Điểm
N23DCDK147;Hoàng Vũ Hồng;Quân;D23CQDK10-N;6.7
N22DCCN951;Phan Khánh;Linh;D22CQCN10-N;8.5
N23DCCN951;Phan Khánh;Linh;D23CQCN19-N;8.2
N21DCCN852;Hạ Thiên;Lam;D21CQCN11-N;7.6
N22DCDK753;Huỳnh Thị Tuyết;Mai;D22CQDK11-N;7.6
N21DCCN654;Lê Thị;Phương;D21CQCN12-N;6.4
N22DCDK456;Phạm Văn;Huy;D22CQDK12-N;6.4
N23DCCN258;Trần Ðức;Minh;D23CQCN20-N;9.7
N21DCAT147;Lý Hoàng Thanh;Hà;D21CQAT01-N;3.6
N23DCDK753;Bùi Văn;Nam;D23CQDK13-N;6.8
N21DCCN159;Nguyễn Văn;An;D21CQCN13-N;7.3
N21DCCN111;Phạm Minh;Tuấn;D21CQCN01-N;7.1
N22DCCN222;Trần Ngọc;Lan;D22CQCN02-N;8
N23DCCN853;Lê Thị;Hương;D23CQCN03-N;7.8
N21DCDK444;Hoàng Văn;Quân;D21CQDK01-N;6.9
N23DCCN555;Phan Hữu;Bảo;D23CQCN10-N;8.1
N22DCDK555;Phạm Thị;Mai;D22CQDK02-N;7.3
N23DCAT666;Bùi Quốc;Hùng;D23CQAT01-N;8.5
N21DCCN777;Nguyễn Thị;Hạnh;D21CQCN04-N;7
N22DCCN888;Lê Văn;Dũng;D22CQCN05-N;7.9
N23DCCN200;Nguyễn Thu;Ánh;D23CQCN01-N;7
N23DCAT201;Trần Chân;Ái;D23CQAT01-N;8
N22DCDK202;Lê Ðặng Tú;Ân;D22CQDK01-N;6.5
N21DCCN203;Phạm Văn;Âu;D21CQCN01-N;7.8
N23DCAT303;Lê Thị;Hương;D23CQAT02-N;7.2
N21DCCN404;Hoàng Văn;Quân;D21CQCN07-N;7.6
N22DCCN505;Lê Khánh;Ngọc;D22CQCN08-N;6.8
N23DCCN606;Đặng Văn;Hùng;D23CQCN09-N;8.3
N21DCCN707;Nguyễn Thu;Hành;D21CQCN10-N;7.5
N22DCCN808;Lê Văn;Dũng;D22CQCN11-N;6.9
N23DCCN909;Trần Thị;Thu;D23CQCN12-N;7.1
N21DCDK111;Phạm Minh;Tuấn;D21CQDK05-N;7.2
N22DCDK222;Trần;Lan;D22CQDK06-N;8.4
N23DCAT333;Lê Thị;Thương;D23CQAT03-N;7.3
N21DCCN444;Hoàng;Quân;D21CQCN13-N;7
N22DCCN555;Phạm Thị;Mai;D22CQCN14-N;7.7
N23DCCN666;Ðặng Văn;Hùng;D23CQCN15-N;8
N21DCCN017;Nguyễn Thị;Hạnh;D21CQCN16-N;6.6
N22DCCN252;Lê;Dũng;D22CQCN17-N;7.8
N23DCCN367;Trần;Thu;D23CQCN18-N;7.2
N21DCDK121;Phạm Minh;Tuấn;D21CQDK07-N;7.4
N22DCDK232;Trần Ngọc;Lan;D22CQDK08-N;8.1
N23DCAT343;Lê Thái;Hưng;D23CQAT04-N;7
N21DCCN454;Hoàng Ðức;An;D21CQCN19-N;6.9
N22DCCN565;Ðào Thu;Mai;D22CQCN20-N;7.3
N23DCCN676;Ðặng Việt;Hùng;D23CQCN21-N;8.5
N23DCCN204;Nguyễn Văn;Tâm;D23CQCN01-N;0
N23DCAT205;Trần Thị;Ngọc;D23CQAT01-N;3.75
N22DCDK206;Lê Văn;Hùng;D22CQDK01-N;4.99
N21DCCN207;Phạm Thị;Linh;D21CQCN01-N;5
N23DCCN208;Ðặng Văn;Khang;D23CQCN02-N;9.99
N22DCAT209;Hoàng Thị;Mai;D22CQAT01-N;10
N23DCAT353;Lê Thị;Hương;D23CQAT05-N;7.8
N21DCCN464;Hoàng Văn;Quân;D21CQCN25-N;7.5
N22DCCN575;Phạm Thị;Mai;D22CQCN26-N;7
N23DCCN686;Ðặng Văn;Hùng;D23CQCN27-N;8.1
N21DCCN797;Nguyễn Thị;Hạnh;D21CQCN28-N;6.9
N22DCCN478;Lê Văn;Dũng;D22CQCN29-N;7.4
N23DCCN919;Trần Thị;Thu;D23CQCN30-N;7.3
N22DCCN100;Nguyễn Kim Hải;Long;D22CQCN01-N;7.5
N22DCCN101;Trần Thị;Hiền;D22CQCN01-N;7.5
N22DCCN102;Lê Văn;Phúc;D22CQCN01-N;7.5
N25DCCN001;Nguyễn Minh;Tú;D25CQCN01-N;7.6
N25DCCN002;Lê Hồng;Ngọc;D25CQCN01-N;8.2
N25DCDK003;Trần Thị;Thảo;D25CQDK01-N;7.3
N25DCAT004;Phạm Văn;Long;D25CQAT01-N;6.8
N25DCCN005;Đỗ Thị;Mai;D25CQCN02-N;7.9
N25DCDK006;Ngô Quốc;Hùng;D25CQDK02-N;8.1
N25DCCN007;Lý Văn;Tài;D25CQCN03-N;7.2
N25DCAT008;Bùi Thị;Ngọc;D25CQAT02-N;6.9
N25DCCN009;Phan Thanh;Tùng;D25CQCN04-N;7
N25DCDK010;Vũ Đức;Minh;D25CQDK03-N;8.4
N25DCCN011;Đặng Thị;Thuỷ;D25CQCN05-N;7.5
N25DCAT012;Nguyễn Hữu;Tâm;D25CQAT03-N;8
N25DCCN013;Trương Hoàng;Nam;D25CQCN06-N;7.7
N25DCDK014;Lê Thị;Thanh;D25CQDK04-N;6.6
N25DCCN015;Trần Văn;Tú;D25CQCN07-N;8.3
N25DCCN016;Ngô Khánh;Bình;D25CQCN08-N;6.9
N25DCAT017;Mai Hữu;Phúc;D25CQAT04-N;7.1
N25DCDK018;Hoàng Anh;Tuấn;D25CQDK05-N;7.6
N25DCCN019;Võ Thị;Lan;D25CQCN09-N;7.4
N25DCAT020;Đinh Nhật;Trường;D25CQAT05-N;7.9
N25DCCN021;Nguyễn Văn;Bảo;D25CQCN01-N;7.2
N25DCAT022;Lê Minh;Thắng;D25CQAT02-N;6.8
N25DCDK023;Hoàng Thị;Quỳnh;D25CQDK01-N;8.1
N25DCCN024;Đỗ Hữu;Phước;D25CQCN03-N;7.7
N25DCCN025;Phạm Thị;Huệ;D25CQCN04-N;8
N25DCDK026;Trần Văn;Cường;D25CQDK03-N;7
N25DCAT027;Bùi Thị;Mai;D25CQAT01-N;7.3
N25DCCN028;Nguyễn Thị;Yến;D25CQCN05-N;6.9
N25DCDK029;Lý Minh;Trí;D25CQDK02-N;7.5
N25DCAT030;Phan Hữu;Hiếu;D25CQAT04-N;7.6
N25DCCN031;Trịnh Văn;Đức;D25CQCN01-N;8.2
N25DCDK032;Vũ Thị;Thuý;D25CQDK01-N;6.8
N25DCCN033;Ngô Thanh;Hà;D25CQCN02-N;7.1
N25DCAT034;Trần Văn;Bình;D25CQAT05-N;8.3
N25DCCN035;Đặng Thị;Tuyết;D25CQCN06-N;7.4
N25DCDK036;Lê Hoàng;Dũng;D25CQDK04-N;6.7
N25DCAT037;Phạm Hồng;Sơn;D25CQAT03-N;7.9
N25DCCN038;Nguyễn Văn;Hùng;D25CQCN07-N;7.3
N25DCDK039;Hoàng Thị;Dung;D25CQDK05-N;8
N25DCAT040;Nguyễn Thị;Thảo;D25CQAT01-N;7.2
N25DCCN041;Trần Quốc;Việt;D25CQCN08-N;6.9
N25DCDK042;Đỗ Khánh;Chi;D25CQDK03-N;7.8
N25DCCN043;Lê Thị;Nhàn;D25CQCN09-N;8.1
N25DCAT044;Bùi Văn;Tín;D25CQAT02-N;7
N25DCDK045;Võ Hữu;Trung;D25CQDK02-N;7.6
N25DCCN046;Nguyễn Quốc;Toàn;D25CQCN04-N;8.4
N25DCAT047;Phạm Thị;Thư;D25CQAT04-N;7.1
N25DCCN048;Trần Hồng;Tuyết;D25CQCN06-N;6.6
N25DCDK049;Ngô Văn;Nam;D25CQDK04-N;7.5
N25DCAT050;Đinh Thị;Yến;D25CQAT03-N;7.7
N25DCCN051;Lý Thị;Bích;D25CQCN03-N;7.3
N25DCDK052;Phan Văn;Kiệt;D25CQDK05-N;8
N25DCAT053;Hoàng Ngọc;Ánh;D25CQAT05-N;6.9
N25DCCN054;Vũ Hồng;Giang;D25CQCN05-N;7.6
N25DCAT055;Trịnh Đức;Quân;D25CQAT01-N;7.8
N25DCDK056;Đặng Văn;Duy;D25CQDK01-N;6.7
N25DCCN057;Nguyễn Thị;Oanh;D25CQCN07-N;7.9
N25DCAT058;Lê Văn;Tuấn;D25CQAT02-N;7.2
N25DCDK059;Bùi Thị;Phượng;D25CQDK03-N;8.1
N25DCCN060;Phạm Thị;Tâm;D25CQCN02-N;7
N25DCAT061;Trần Văn;Hào;D25CQAT04-N;7.4
N25DCCN062;Ngô Thị;Hoa;D25CQCN01-N;6.8
N25DCDK063;Lý Hồng;Thắm;D25CQDK02-N;7.3
N25DCCN064;Phan Minh;Trung;D25CQCN03-N;8
N25DCAT065;Đặng Thị;Bé;D25CQAT03-N;7.1
N25DCDK066;Trịnh Văn;Hòa;D25CQDK05-N;7.5
N25DCAT067;Lê Hồng;Quyên;D25CQAT05-N;6.6
N25DCCN068;Nguyễn Hải;Yến;D25CQCN06-N;8.2
N25DCDK069;Hoàng Thị;Hương;D25CQDK04-N;7.4
N25DCCN070;Trần Văn;Khánh;D25CQCN05-N;7.6
N25DCAT071;Võ Minh;Khang;D25CQAT01-N;6.9
N25DCDK072;Đỗ Văn;Lâm;D25CQDK03-N;7
N25DCCN073;Nguyễn Thị;Ngân;D25CQCN04-N;8.1
N25DCAT074;Phan Hoàng;Tài;D25CQAT02-N;7.3
N25DCDK075;Lê Thị;Tươi;D25CQDK01-N;7.2
N25DCCN076;Đặng Hồng;Sơn;D25CQCN07-N;6.8
N25DCAT077;Trần Văn;Phát;D25CQAT03-N;8
N25DCDK078;Bùi Thị;Thu;D25CQDK02-N;7.5
N25DCCN079;Ngô Quang;Huy;D25CQCN01-N;7.3
N25DCAT080;Vũ Thanh;Tùng;D25CQAT04-N;7.9
N25DCCN081;Phạm Thị;Nga;D25CQCN02-N;7.6
N25DCDK082;Trịnh Văn;Hưng;D25CQDK03-N;7
N25DCAT083;Đỗ Hồng;Nhung;D25CQAT05-N;6.7
N25DCCN084;Nguyễn Đức;Hoàng;D25CQCN08-N;8.3
N25DCDK085;Lê Thị;Phúc;D25CQDK05-N;7.1
N25DCCN086;Hoàng Văn;Phú;D25CQCN06-N;7.8
N25DCAT087;Trần Thanh;Tâm;D25CQAT01-N;7.2
N25DCDK088;Ngô Hữu;Hiệp;D25CQDK04-N;6.9
N25DCCN089;Phan Thị;Kim;D25CQCN09-N;7.4
N25DCAT090;Lý Văn;Bảo;D25CQAT02-N;7.6
N25DCDK091;Đặng Hữu;Đạt;D25CQDK02-N;8
N25DCCN092;Nguyễn Thị;Thư;D25CQCN03-N;7.1
N25DCAT093;Trịnh Hoàng;Anh;D25CQAT04-N;6.8
N25DCCN094;Lê Minh;Phát;D25CQCN04-N;7.5
N25DCDK095;Phạm Thị;Hồng;D25CQDK01-N;8.2
N25DCAT096;Nguyễn Văn;Lộc;D25CQAT05-N;7
N25DCCN097;Bùi Hữu;Thịnh;D25CQCN05-N;6.7
N25DCDK098;Vũ Thanh;Quyết;D25CQDK03-N;7.9
N25DCAT099;Hoàng Thị;Lệ;D25CQAT03-N;7.3
N25DCCN100;Trần Văn;Thành;D25CQCN06-N;8.1
N25DCDK101;Ngô Thị;Tươi;D25CQDK04-N;7.4
N25DCCN102;Phan Quang;Trí;D25CQCN07-N;7.6
N25DCAT103;Đinh Hữu;Khôi;D25CQAT01-N;7.2
N25DCDK104;Lý Văn;Cảnh;D25CQDK05-N;7.7
N25DCAT105;Trần Minh;Tuệ;D25CQAT02-N;6.9
N25DCCN106;Nguyễn Hữu;Nhân;D25CQCN01-N;8
N25DCDK107;Đỗ Văn;Dũng;D25CQDK02-N;7.5
N25DCCN108;Lê Thị;Trâm;D25CQCN03-N;7.3
N25DCAT109;Phạm Thị;Nhàn;D25CQAT04-N;7.1
N25DCDK110;Hoàng Văn;Bảo;D25CQDK01-N;7.8
N25DCCN111;Ngô Văn;Tuấn;D25CQCN02-N;6.8
N25DCAT112;Bùi Thị;Tuyết;D25CQAT03-N;7.6
N25DCCN113;Trịnh Thị;Hằng;D25CQCN04-N;7.9
N25DCDK114;Nguyễn Minh;Hoàng;D25CQDK04-N;8.3
N25DCAT115;Lê Quốc;Thiện;D25CQAT05-N;7.2
N25DCCN116;Đặng Hồng;Phát;D25CQCN05-N;7.1
N25DCAT117;Trần Thị;Thủy;D25CQAT01-N;6.7
N25DCDK118;Phan Văn;Hiển;D25CQDK03-N;7
N25DCCN119;Nguyễn Văn;Quang;D25CQCN06-N;8.1
N25DCAT120;Vũ Thị;Phương;D25CQAT02-N;7.5
N25DCCN121;Phạm Văn;Thắng;D25CQCN01-N;7.3
N25DCDK122;Nguyễn Thị;Lan;D25CQDK01-N;7.8
N25DCAT123;Lê Hoàng;Minh;D25CQAT01-N;6.9
N25DCCN124;Trần Thị;Hà;D25CQCN02-N;7.1
N25DCDK125;Hoàng Văn;Tuấn;D25CQDK02-N;8.2
N25DCAT126;Phan Minh;Châu;D25CQAT02-N;7.4
N25DCCN127;Đỗ Hữu;Trí;D25CQCN03-N;7.6
N25DCDK128;Bùi Thị;Nhung;D25CQDK03-N;6.8
N25DCAT129;Nguyễn Quốc;Hưng;D25CQAT03-N;8
N25DCCN130;Vũ Thanh;Hiền;D25CQCN04-N;7.5
N25DCDK131;Lý Thị;Thu;D25CQDK04-N;6.9
N25DCAT132;Đặng Văn;Toàn;D25CQAT04-N;7.7
N25DCCN133;Trịnh Hồng;Hạnh;D25CQCN05-N;7.3
N25DCDK134;Phạm Thị;Vân;D25CQDK05-N;8.1
N25DCAT135;Ngô Văn;Phúc;D25CQAT05-N;7.2
N25DCCN136;Lê Hữu;Tâm;D25CQCN06-N;7.8
N25DCDK137;Trần Thị;Duyên;D25CQDK01-N;7
N25DCAT138;Hoàng Quốc;Anh;D25CQAT01-N;7.5
N25DCCN139;Phan Thị;Thủy;D25CQCN07-N;6.7
N25DCDK140;Đỗ Minh;Phát;D25CQDK02-N;8.3
N25DCAT141;Nguyễn Thị;Quỳnh;D25CQAT02-N;7.1
N25DCCN142;Lý Hồng;Sơn;D25CQCN08-N;7.6
N25DCDK143;Trịnh Văn;Kiên;D25CQDK03-N;6.9
N25DCAT144;Phạm Văn;Tài;D25CQAT03-N;7.9
N25DCCN145;Bùi Thị;Linh;D25CQCN09-N;8.2
N25DCDK146;Ngô Hữu;Khoa;D25CQDK04-N;7.4
N25DCAT147;Lê Thị;Thanh;D25CQAT04-N;6.8
N25DCCN148;Đặng Văn;Hậu;D25CQCN01-N;7.5
N25DCDK149;Hoàng Minh;Tuệ;D25CQDK05-N;7
N25DCAT150;Trần Hữu;Tín;D25CQAT05-N;8
N25DCCN151;Nguyễn Hải;Nam;D25CQCN02-N;6.9
N25DCDK152;Phan Thị;Duyên;D25CQDK01-N;7.7
N25DCAT153;Đỗ Văn;Khoa;D25CQAT01-N;7.3
N25DCCN154;Trịnh Đức;Trung;D25CQCN03-N;8.1
N25DCDK155;Vũ Hồng;Yến;D25CQDK02-N;7.2
N25DCAT156;Ngô Thị;Trinh;D25CQAT02-N;6.7
N25DCCN157;Lê Văn;Tâm;D25CQCN04-N;7.9
N25DCDK158;Bùi Minh;Đạt;D25CQDK03-N;8.3
N25DCAT159;Phạm Thị;Trang;D25CQAT03-N;7.4
N25DCCN160;Nguyễn Thị;Lan;D25CQCN05-N;6.8
N25DCDK161;Đặng Quốc;Bảo;D25CQDK04-N;7.6
N25DCAT162;Trần Minh;Quân;D25CQAT04-N;7
N25DCCN163;Hoàng Văn;Khánh;D25CQCN06-N;7.8
N25DCDK164;Phan Hữu;Toản;D25CQDK05-N;7.1
N25DCAT165;Lý Minh;Anh;D25CQAT05-N;8
N25DCCN166;Vũ Thị;Ngọc;D25CQCN07-N;6.9
N25DCDK167;Ngô Văn;Long;D25CQDK01-N;7.3
N25DCAT168;Lê Thị;Hạnh;D25CQAT01-N;7.7
N25DCCN169;Đỗ Văn;Bình;D25CQCN08-N;7.5
N25DCDK170;Nguyễn Hữu;Phước;D25CQDK02-N;8.2
N25DCAT171;Bùi Văn;Hưng;D25CQAT02-N;7.6
N25DCCN172;Trịnh Thị;Phương;D25CQCN09-N;6.7
N25DCDK173;Phạm Văn;Hạnh;D25CQDK03-N;7.8
N25DCAT174;Hoàng Văn;Toàn;D25CQAT03-N;7.1
N25DCCN175;Đặng Hữu;Tài;D25CQCN01-N;7.9
N25DCDK176;Lê Hồng;Quân;D25CQDK04-N;6.9
N25DCAT177;Nguyễn Thị;Hoa;D25CQAT04-N;7.3
N25DCCN178;Phan Minh;Dũng;D25CQCN02-N;7.5
N25DCDK179;Trần Thị;Hiền;D25CQDK05-N;8
N25DCAT180;Đỗ Văn;Thành;D25CQAT05-N;7.4
N25DCCN181;Bùi Thị;Quỳnh;D25CQCN03-N;6.8
N25DCDK182;Ngô Hữu;Lợi;D25CQDK01-N;7.6
N25DCAT183;Phạm Hồng;Sơn;D25CQAT01-N;7
N25DCCN184;Trịnh Đức;Anh;D25CQCN04-N;7.8
N25DCDK185;Lê Văn;Bình;D25CQDK02-N;7.2
N25DCAT186;Nguyễn Hữu;Tú;D25CQAT02-N;6.7
N25DCCN187;Hoàng Thị;Vân;D25CQCN05-N;7.9
N25DCDK188;Đặng Văn;Đức;D25CQDK03-N;8.1
N25DCAT189;Trần Minh;Thành;D25CQAT03-N;7.3
N25DCCN190;Phan Thị;Hạnh;D25CQCN06-N;6.9
N25DCDK191;Vũ Hồng;Phát;D25CQDK04-N;7.7
N25DCAT192;Ngô Minh;Hoàng;D25CQAT04-N;7.5
N25DCCN193;Lý Thị;Thắm;D25CQCN07-N;7.1
N25DCDK194;Phạm Văn;Long;D25CQDK05-N;8.2
N25DCAT195;Đỗ Hữu;Tâm;D25CQAT05-N;7.4
N25DCCN196;Bùi Văn;Tuấn;D25CQCN08-N;6.8
N25DCDK197;Trịnh Thị;Nhàn;D25CQDK01-N;7.6
N25DCAT198;Nguyễn Thị;Như;D25CQAT01-N;7
N25DCCN199;Lê Văn;Sang;D25CQCN09-N;8
N25DCDK200;Hoàng Hữu;Tài;D25CQDK02-N;7.5
N25DCAT201;Phan Quốc;Toàn;D25CQAT02-N;6.9
N25DCCN202;Đặng Thị;Thu;D25CQCN01-N;7.3
N25DCDK203;Ngô Văn;Bình;D25CQDK03-N;8.1
N25DCAT204;Trần Thị;Yến;D25CQAT03-N;7.6
N25DCCN205;Phạm Hồng;Quân;D25CQCN02-N;7.2
N25DCDK206;Đỗ Thị;Mai;D25CQDK04-N;6.7
N25DCAT207;Lý Minh;Hiếu;D25CQAT04-N;7.9
N25DCCN208;Nguyễn Văn;Khôi;D25CQCN03-N;8.3
N25DCDK209;Bùi Văn;Lâm;D25CQDK05-N;7.4
N25DCAT210;Hoàng Thị;Huệ;D25CQAT05-N;7
N25DCCN211;Nguyễn Thị;Mai;D25CQCN04-N;7.4
N25DCDK212;Trần Văn;Khánh;D25CQDK01-N;6.8
N25DCAT213;Phạm Hữu;Dũng;D25CQAT01-N;7.5
N25DCCN214;Lê Thị;Thảo;D25CQCN05-N;7.9
N25DCDK215;Bùi Minh;Khang;D25CQDK02-N;7.2
N25DCAT216;Ngô Văn;Nghĩa;D25CQAT02-N;8
N25DCCN217;Đặng Hồng;Yến;D25CQCN06-N;7.1
N25DCDK218;Phan Văn;Hưng;D25CQDK03-N;7.7
N25DCAT219;Trịnh Minh;Tú;D25CQAT03-N;6.9
N25DCCN220;Vũ Thị;Quỳnh;D25CQCN07-N;7.3
N25DCDK221;Hoàng Văn;Toản;D25CQDK04-N;8.1
N25DCAT222;Đỗ Thị;Trúc;D25CQAT04-N;7.6
N25DCCN223;Nguyễn Hữu;Khanh;D25CQCN08-N;6.7
N25DCDK224;Lê Văn;Trung;D25CQDK05-N;7.5
N25DCAT225;Phạm Thị;Tuyết;D25CQAT05-N;7.2
N25DCCN226;Trần Quốc;Đạt;D25CQCN09-N;7.8
N25DCDK227;Bùi Thị;Thuỷ;D25CQDK01-N;6.9
N25DCAT228;Ngô Văn;Cường;D25CQAT01-N;8.3
N25DCCN229;Đặng Minh;Phú;D25CQCN01-N;7
N25DCDK230;Lý Thị;Oanh;D25CQDK02-N;7.6
N25DCAT231;Nguyễn Văn;Trung;D25CQAT02-N;7.4
N25DCCN232;Trịnh Thị;Bích;D25CQCN02-N;7.9
N25DCDK233;Phạm Văn;Quyết;D25CQDK03-N;6.8
N25DCAT234;Vũ Hữu;Thịnh;D25CQAT03-N;7.7
N25DCCN235;Lê Thị;Kim;D25CQCN03-N;7.1
N25DCDK236;Đỗ Văn;Chí;D25CQDK04-N;8
N25DCAT237;Ngô Thị;Thuý;D25CQAT04-N;7.3
N25DCCN238;Bùi Minh;Hải;D25CQCN04-N;6.7
N25DCDK239;Trần Thị;Trang;D25CQDK05-N;7.8
N25DCAT240;Phan Hữu;Tường;D25CQAT05-N;7.5
N25DCCN241;Đặng Văn;Hoà;D25CQCN05-N;7
N25DCDK242;Nguyễn Hồng;Loan;D25CQDK01-N;7.6
N25DCAT243;Lê Minh;Khoa;D25CQAT01-N;8.2
N25DCCN244;Hoàng Thị;Hằng;D25CQCN06-N;7.4
N25DCDK245;Vũ Văn;Thành;D25CQDK02-N;6.9
N25DCAT246;Trịnh Thị;Tâm;D25CQAT02-N;7.1
N25DCCN247;Phan Quốc;Cường;D25CQCN07-N;7.3
N25DCDK248;Bùi Hữu;Phúc;D25CQDK03-N;8
N25DCAT249;Ngô Văn;Tài;D25CQAT03-N;7.7
N25DCCN250;Đỗ Thị;Vân;D25CQCN08-N;7.5
N25DCDK251;Trần Văn;Nam;D25CQDK04-N;6.8
N25DCAT252;Phạm Hữu;Nghị;D25CQAT04-N;7.9
N25DCCN253;Lê Hồng;Minh;D25CQCN09-N;7.2
N25DCDK254;Hoàng Thị;Thảo;D25CQDK05-N;7
N25DCAT255;Đặng Minh;Toàn;D25CQAT05-N;8.1
N25DCCN256;Nguyễn Văn;Bách;D25CQCN01-N;7.6
N25DCDK257;Vũ Thị;Hạnh;D25CQDK01-N;6.9
N25DCAT258;Trần Văn;Hiệp;D25CQAT01-N;7.3
N25DCCN259;Lý Minh;Trí;D25CQCN02-N;7.8
N25DCDK260;Phan Hữu;Đức;D25CQDK02-N;7.4
N25DCAT261;Ngô Văn;Duy;D25CQAT02-N;6.7
N25DCCN262;Bùi Văn;Khánh;D25CQCN03-N;7.9
N25DCDK263;Trịnh Thị;Kim;D25CQDK03-N;7.1
N25DCAT264;Đỗ Thị;Bình;D25CQAT03-N;8
N25DCCN265;Hoàng Văn;Sơn;D25CQCN04-N;7.5
N25DCDK266;Lê Văn;Phúc;D25CQDK04-N;7.2
N25DCAT267;Phạm Minh;Khoa;D25CQAT04-N;6.8
N25DCCN268;Nguyễn Hữu;Thắng;D25CQCN05-N;7.6
N25DCDK269;Đặng Hồng;Phát;D25CQDK05-N;7
N25DCAT270;Trần Quốc;Hưng;D25CQAT05-N;8.3
N25DCCN271;Phan Thị;Nhung;D25CQCN06-N;7.3
N25DCDK272;Ngô Văn;Kiên;D25CQDK01-N;7.9
N25DCAT273;Bùi Thị;Tuyết;D25CQAT01-N;6.9
N25DCCN274;Lý Minh;Tú;D25CQCN07-N;7.7
N25DCDK275;Trần Thị;Hồng;D25CQDK02-N;7.2
N25DCAT276;Đỗ Hữu;Khải;D25CQAT02-N;7.5
N25DCCN277;Nguyễn Văn;Sỹ;D25CQCN08-N;6.8
N25DCDK278;Vũ Minh;Toàn;D25CQDK03-N;7.6
N25DCAT279;Hoàng Thị;Yến;D25CQAT03-N;7
N25DCCN280;Phạm Văn;Long;D25CQCN09-N;7.8
N25DCDK281;Đặng Hữu;Tín;D25CQDK04-N;7.4
N25DCAT282;Ngô Minh;Hiếu;D25CQAT04-N;6.7
N25DCCN283;Bùi Văn;Thành;D25CQCN01-N;7.9
N25DCDK284;Trịnh Hồng;Tâm;D25CQDK05-N;7.1
N25DCAT285;Lê Thị;Mai;D25CQAT05-N;8
N25DCCN286;Đỗ Văn;Tiến;D25CQCN02-N;7.3
N25DCDK287;Phan Minh;Trí;D25CQDK01-N;7.5
N25DCAT288;Nguyễn Thị;Phượng;D25CQAT01-N;6.9
N25DCCN289;Vũ Quốc;Anh;D25CQCN03-N;8.2
N25DCDK290;Hoàng Văn;Sang;D25CQDK02-N;7.6
N25DCAT291;Lý Thị;Kim;D25CQAT02-N;7.3
N25DCCN292;Trần Văn;Tài;D25CQCN04-N;6.7
N25DCDK293;Đặng Văn;Hiếu;D25CQDK03-N;7.9
